Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 8

step 00000 (0.0%) | loss: 9.011626 | lrm: 1.00 | dt: 26075ms | tok/sec: 20,106 | mfu: 6.9% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.535108 | lrm: 1.00 | dt: 2641ms | tok/sec: 198,481 | mfu: 67.8% | epoch: 1 | remaining: 297s    
step 00012 (0.9%) | loss: 6.412058 | lrm: 1.00 | dt: 2642ms | tok/sec: 198,426 | mfu: 67.8% | epoch: 1 | remaining: 295s    
step 00013 (1.8%) | loss: 6.304415 | lrm: 1.00 | dt: 2641ms | tok/sec: 198,506 | mfu: 67.8% | epoch: 1 | remaining: 292s    
step 00014 (2.6%) | loss: 6.207951 | lrm: 1.00 | dt: 2642ms | tok/sec: 198,457 | mfu: 67.8% | epoch: 1 | remaining: 289s    
step 00015 (3.5%) | loss: 6.128900 | lrm: 1.00 | dt: 2642ms | tok/sec: 198,453 | mfu: 67.8% | epoch: 1 | remaining: 287s    
step 00016 (4.4%) | loss: 6.051874 | lrm: 1.00 | dt: 2642ms | tok/sec: 198,449 | mfu: 67.8% | epoch: 1 | remaining: 284s    
step 00017 (5.3%) | loss: 5.984051 | lrm: 1.00 | dt: 2642ms | tok/sec: 198,467 | mfu: 67.8% | epoch: 1 | remaining: 282s    
step 00018 (6.2%) | loss: 5.923061 | lrm: 1.00 | dt: 2642ms | tok/sec: 198,470 | mfu: 67.8% | epoch: 1 | remaining: 279s    
step 00019 (7.0%) | loss: 5.866171 | lrm: 1.00 | dt: 2642ms | tok/sec: 198,437 | mfu: 67.8% | epoch: 1 | remaining: 276s    
step 00020 (7.9%) | loss: 5.817041 | lrm: 1.00 | dt: 2642ms | tok/sec: 198,428 | mfu: 67.8% | epoch: 1 | remaining: 274s    
step 00021 (8.8%) | loss: 5.771717 | lrm: 1.00 | dt: 2642ms | tok/sec: 198,443 | mfu: 67.8% | epoch: 1 | remaining: 271s    
step 00022 (9.7%) | loss: 5.730666 | lrm: 1.00 | dt: 2642ms | tok/sec: 198,409 | mfu: 67.8% | epoch: 1 | remaining: 268s    
step 00023 (10.6%) | loss: 5.689127 | lrm: 1.00 | dt: 2642ms | tok/sec: 198,468 | mfu: 67.8% | epoch: 1 | remaining: 266s    
step 00024 (11.4%) | loss: 5.654009 | lrm: 1.00 | dt: 2641ms | tok/sec: 198,483 | mfu: 67.8% | epoch: 1 | remaining: 263s    
step 00025 (12.3%) | loss: 5.618779 | lrm: 1.00 | dt: 2641ms | tok/sec: 198,521 | mfu: 67.8% | epoch: 1 | remaining: 260s    
step 00026 (13.2%) | loss: 5.584289 | lrm: 1.00 | dt: 2641ms | tok/sec: 198,504 | mfu: 67.8% | epoch: 1 | remaining: 258s    
step 00027 (14.1%) | loss: 5.556900 | lrm: 1.00 | dt: 2641ms | tok/sec: 198,482 | mfu: 67.8% | epoch: 1 | remaining: 255s    
step 00028 (15.0%) | loss: 5.527743 | lrm: 1.00 | dt: 2643ms | tok/sec: 198,377 | mfu: 67.8% | epoch: 1 | remaining: 252s    
step 00029 (15.9%) | loss: 5.499212 | lrm: 1.00 | dt: 2641ms | tok/sec: 198,528 | mfu: 67.8% | epoch: 1 | remaining: 250s    
step 00030 (16.7%) | loss: 5.466236 | lrm: 1.00 | dt: 2641ms | tok/sec: 198,494 | mfu: 67.8% | epoch: 1 | remaining: 247s    
step 00031 (17.6%) | loss: 5.431726 | lrm: 1.00 | dt: 2641ms | tok/sec: 198,540 | mfu: 67.8% | epoch: 1 | remaining: 245s    
step 00032 (18.5%) | loss: 5.405383 | lrm: 1.00 | dt: 2642ms | tok/sec: 198,431 | mfu: 67.8% | epoch: 1 | remaining: 242s    
step 00033 (19.4%) | loss: 5.376163 | lrm: 1.00 | dt: 2641ms | tok/sec: 198,500 | mfu: 67.8% | epoch: 1 | remaining: 239s    
step 00034 (20.3%) | loss: 5.343969 | lrm: 1.00 | dt: 2642ms | tok/sec: 198,413 | mfu: 67.8% | epoch: 1 | remaining: 237s    
step 00035 (21.1%) | loss: 5.318206 | lrm: 1.00 | dt: 2641ms | tok/sec: 198,526 | mfu: 67.8% | epoch: 1 | remaining: 234s    
step 00036 (22.0%) | loss: 5.302872 | lrm: 1.00 | dt: 2642ms | tok/sec: 198,412 | mfu: 67.8% | epoch: 1 | remaining: 231s    
step 00037 (22.9%) | loss: 5.275781 | lrm: 1.00 | dt: 2641ms | tok/sec: 198,491 | mfu: 67.8% | epoch: 1 | remaining: 229s    
step 00038 (23.8%) | loss: 5.250658 | lrm: 1.00 | dt: 2641ms | tok/sec: 198,508 | mfu: 67.8% | epoch: 1 | remaining: 226s    
step 00039 (24.7%) | loss: 5.219327 | lrm: 1.00 | dt: 2642ms | tok/sec: 198,440 | mfu: 67.8% | epoch: 1 | remaining: 223s    
step 00040 (25.5%) | loss: 5.192502 | lrm: 1.00 | dt: 2641ms | tok/sec: 198,531 | mfu: 67.8% | epoch: 1 | remaining: 221s    
step 00041 (26.4%) | loss: 5.169223 | lrm: 1.00 | dt: 2642ms | tok/sec: 198,446 | mfu: 67.8% | epoch: 1 | remaining: 218s    
step 00042 (27.3%) | loss: 5.143801 | lrm: 1.00 | dt: 2641ms | tok/sec: 198,483 | mfu: 67.8% | epoch: 1 | remaining: 215s    
step 00043 (28.2%) | loss: 5.114418 | lrm: 1.00 | dt: 2642ms | tok/sec: 198,433 | mfu: 67.8% | epoch: 1 | remaining: 213s    
step 00044 (29.1%) | loss: 5.087584 | lrm: 1.00 | dt: 2642ms | tok/sec: 198,406 | mfu: 67.8% | epoch: 1 | remaining: 210s    
step 00045 (29.9%) | loss: 5.067125 | lrm: 1.00 | dt: 2642ms | tok/sec: 198,451 | mfu: 67.8% | epoch: 1 | remaining: 208s    
step 00046 (30.8%) | loss: 5.040020 | lrm: 1.00 | dt: 2642ms | tok/sec: 198,442 | mfu: 67.8% | epoch: 1 | remaining: 205s    
step 00047 (31.7%) | loss: 5.016323 | lrm: 1.00 | dt: 2643ms | tok/sec: 198,395 | mfu: 67.8% | epoch: 1 | remaining: 202s    
step 00048 (32.6%) | loss: 4.999765 | lrm: 1.00 | dt: 2642ms | tok/sec: 198,438 | mfu: 67.8% | epoch: 1 | remaining: 200s    
step 00049 (33.5%) | loss: 4.973711 | lrm: 1.00 | dt: 2642ms | tok/sec: 198,435 | mfu: 67.8% | epoch: 1 | remaining: 197s    
step 00050 (34.3%) | loss: 4.943714 | lrm: 1.00 | dt: 2642ms | tok/sec: 198,436 | mfu: 67.8% | epoch: 1 | remaining: 194s    
step 00051 (35.2%) | loss: 4.926111 | lrm: 1.00 | dt: 2643ms | tok/sec: 198,382 | mfu: 67.8% | epoch: 1 | remaining: 192s    
step 00052 (36.1%) | loss: 4.899802 | lrm: 1.00 | dt: 2641ms | tok/sec: 198,513 | mfu: 67.8% | epoch: 1 | remaining: 189s    
step 00053 (37.0%) | loss: 4.874572 | lrm: 1.00 | dt: 2643ms | tok/sec: 198,359 | mfu: 67.7% | epoch: 1 | remaining: 186s    
step 00054 (37.9%) | loss: 4.851919 | lrm: 1.00 | dt: 2642ms | tok/sec: 198,411 | mfu: 67.8% | epoch: 1 | remaining: 184s    
step 00055 (38.7%) | loss: 4.834513 | lrm: 1.00 | dt: 2643ms | tok/sec: 198,393 | mfu: 67.8% | epoch: 1 | remaining: 181s    
step 00056 (39.6%) | loss: 4.810448 | lrm: 1.00 | dt: 2642ms | tok/sec: 198,447 | mfu: 67.8% | epoch: 1 | remaining: 178s    
step 00057 (40.5%) | loss: 4.795542 | lrm: 1.00 | dt: 2643ms | tok/sec: 198,393 | mfu: 67.8% | epoch: 1 | remaining: 176s    
step 00058 (41.4%) | loss: 4.779913 | lrm: 1.00 | dt: 2641ms | tok/sec: 198,499 | mfu: 67.8% | epoch: 1 | remaining: 173s    
step 00059 (42.3%) | loss: 4.745533 | lrm: 1.00 | dt: 2643ms | tok/sec: 198,373 | mfu: 67.8% | epoch: 1 | remaining: 171s    
step 00060 (43.2%) | loss: 4.721105 | lrm: 1.00 | dt: 2642ms | tok/sec: 198,480 | mfu: 67.8% | epoch: 1 | remaining: 168s    
step 00061 (44.0%) | loss: 4.703499 | lrm: 1.00 | dt: 2642ms | tok/sec: 198,455 | mfu: 67.8% | epoch: 1 | remaining: 165s    
step 00062 (44.9%) | loss: 4.676016 | lrm: 1.00 | dt: 2642ms | tok/sec: 198,418 | mfu: 67.8% | epoch: 1 | remaining: 163s    
step 00063 (45.8%) | loss: 4.659688 | lrm: 1.00 | dt: 2641ms | tok/sec: 198,483 | mfu: 67.8% | epoch: 1 | remaining: 160s    
step 00064 (46.7%) | loss: 4.639690 | lrm: 1.00 | dt: 2642ms | tok/sec: 198,478 | mfu: 67.8% | epoch: 1 | remaining: 157s    
step 00065 (47.6%) | loss: 4.619200 | lrm: 1.00 | dt: 2641ms | tok/sec: 198,494 | mfu: 67.8% | epoch: 1 | remaining: 155s    
step 00066 (48.4%) | loss: 4.614789 | lrm: 1.00 | dt: 2643ms | tok/sec: 198,352 | mfu: 67.7% | epoch: 1 | remaining: 152s    
step 00067 (49.3%) | loss: 4.592749 | lrm: 1.00 | dt: 2642ms | tok/sec: 198,443 | mfu: 67.8% | epoch: 1 | remaining: 149s    
step 00068 (50.2%) | loss: 4.577245 | lrm: 1.00 | dt: 2642ms | tok/sec: 198,477 | mfu: 67.8% | epoch: 1 | remaining: 147s    
step 00069 (51.1%) | loss: 4.549587 | lrm: 0.98 | dt: 2641ms | tok/sec: 198,491 | mfu: 67.8% | epoch: 1 | remaining: 144s    
step 00070 (52.0%) | loss: 4.528213 | lrm: 0.96 | dt: 2641ms | tok/sec: 198,520 | mfu: 67.8% | epoch: 1 | remaining: 141s    
step 00071 (52.8%) | loss: 4.503340 | lrm: 0.94 | dt: 2642ms | tok/sec: 198,449 | mfu: 67.8% | epoch: 1 | remaining: 139s    
step 00072 (53.7%) | loss: 4.491651 | lrm: 0.93 | dt: 2641ms | tok/sec: 198,504 | mfu: 67.8% | epoch: 1 | remaining: 136s    
step 00073 (54.6%) | loss: 4.471192 | lrm: 0.91 | dt: 2643ms | tok/sec: 198,378 | mfu: 67.8% | epoch: 1 | remaining: 134s    
step 00074 (55.5%) | loss: 4.448315 | lrm: 0.89 | dt: 2641ms | tok/sec: 198,487 | mfu: 67.8% | epoch: 1 | remaining: 131s    
step 00075 (56.4%) | loss: 4.426721 | lrm: 0.87 | dt: 2641ms | tok/sec: 198,506 | mfu: 67.8% | epoch: 1 | remaining: 128s    
step 00076 (57.2%) | loss: 4.408827 | lrm: 0.86 | dt: 2641ms | tok/sec: 198,508 | mfu: 67.8% | epoch: 1 | remaining: 126s    
step 00077 (58.1%) | loss: 4.387473 | lrm: 0.84 | dt: 2641ms | tok/sec: 198,505 | mfu: 67.8% | epoch: 1 | remaining: 123s    
step 00078 (59.0%) | loss: 4.359489 | lrm: 0.82 | dt: 2642ms | tok/sec: 198,415 | mfu: 67.8% | epoch: 1 | remaining: 120s    
step 00079 (59.9%) | loss: 4.339998 | lrm: 0.80 | dt: 2642ms | tok/sec: 198,446 | mfu: 67.8% | epoch: 1 | remaining: 118s    
step 00080 (60.8%) | loss: 4.321570 | lrm: 0.78 | dt: 2642ms | tok/sec: 198,460 | mfu: 67.8% | epoch: 1 | remaining: 115s    
step 00081 (61.6%) | loss: 4.303259 | lrm: 0.77 | dt: 2641ms | tok/sec: 198,500 | mfu: 67.8% | epoch: 1 | remaining: 112s    
step 00082 (62.5%) | loss: 4.292634 | lrm: 0.75 | dt: 2641ms | tok/sec: 198,523 | mfu: 67.8% | epoch: 1 | remaining: 110s    
step 00083 (63.4%) | loss: 4.273648 | lrm: 0.73 | dt: 2641ms | tok/sec: 198,522 | mfu: 67.8% | epoch: 1 | remaining: 107s    
step 00084 (64.3%) | loss: 4.249943 | lrm: 0.71 | dt: 2641ms | tok/sec: 198,544 | mfu: 67.8% | epoch: 1 | remaining: 105s    
step 00085 (65.2%) | loss: 4.231263 | lrm: 0.70 | dt: 2641ms | tok/sec: 198,521 | mfu: 67.8% | epoch: 1 | remaining: 102s    
step 00086 (66.0%) | loss: 4.217070 | lrm: 0.68 | dt: 2641ms | tok/sec: 198,527 | mfu: 67.8% | epoch: 1 | remaining: 99s    
step 00087 (66.9%) | loss: 4.205202 | lrm: 0.66 | dt: 2641ms | tok/sec: 198,535 | mfu: 67.8% | epoch: 1 | remaining: 97s    
step 00088 (67.8%) | loss: 4.188705 | lrm: 0.64 | dt: 2641ms | tok/sec: 198,532 | mfu: 67.8% | epoch: 1 | remaining: 94s    
step 00089 (68.7%) | loss: 4.167726 | lrm: 0.63 | dt: 2641ms | tok/sec: 198,496 | mfu: 67.8% | epoch: 1 | remaining: 91s    
step 00090 (69.6%) | loss: 4.153640 | lrm: 0.61 | dt: 2641ms | tok/sec: 198,554 | mfu: 67.8% | epoch: 1 | remaining: 89s    
step 00091 (70.4%) | loss: 4.134776 | lrm: 0.59 | dt: 2642ms | tok/sec: 198,441 | mfu: 67.8% | epoch: 1 | remaining: 86s    
step 00092 (71.3%) | loss: 4.116188 | lrm: 0.57 | dt: 2642ms | tok/sec: 198,453 | mfu: 67.8% | epoch: 1 | remaining: 83s    
step 00093 (72.2%) | loss: 4.093739 | lrm: 0.56 | dt: 2642ms | tok/sec: 198,449 | mfu: 67.8% | epoch: 1 | remaining: 81s    
step 00094 (73.1%) | loss: 4.078611 | lrm: 0.54 | dt: 2642ms | tok/sec: 198,434 | mfu: 67.8% | epoch: 1 | remaining: 78s    
step 00095 (74.0%) | loss: 4.060746 | lrm: 0.52 | dt: 2643ms | tok/sec: 198,397 | mfu: 67.8% | epoch: 1 | remaining: 75s    
step 00096 (74.8%) | loss: 4.042846 | lrm: 0.50 | dt: 2642ms | tok/sec: 198,451 | mfu: 67.8% | epoch: 1 | remaining: 73s    
step 00097 (75.7%) | loss: 4.029928 | lrm: 0.49 | dt: 2642ms | tok/sec: 198,480 | mfu: 67.8% | epoch: 1 | remaining: 70s    
step 00098 (76.6%) | loss: 4.016788 | lrm: 0.47 | dt: 2642ms | tok/sec: 198,476 | mfu: 67.8% | epoch: 1 | remaining: 68s    
step 00099 (77.5%) | loss: 4.008746 | lrm: 0.45 | dt: 2642ms | tok/sec: 198,454 | mfu: 67.8% | epoch: 1 | remaining: 65s    
step 00100 (78.4%) | loss: 3.995011 | lrm: 0.43 | dt: 2642ms | tok/sec: 198,465 | mfu: 67.8% | epoch: 1 | remaining: 62s    
step 00101 (79.3%) | loss: 3.980672 | lrm: 0.41 | dt: 2641ms | tok/sec: 198,519 | mfu: 67.8% | epoch: 1 | remaining: 60s    
step 00102 (80.1%) | loss: 3.965898 | lrm: 0.40 | dt: 2643ms | tok/sec: 198,397 | mfu: 67.8% | epoch: 1 | remaining: 57s    
step 00103 (81.0%) | loss: 3.944636 | lrm: 0.38 | dt: 2642ms | tok/sec: 198,469 | mfu: 67.8% | epoch: 1 | remaining: 54s    
step 00104 (81.9%) | loss: 3.928581 | lrm: 0.36 | dt: 2641ms | tok/sec: 198,536 | mfu: 67.8% | epoch: 1 | remaining: 52s    
step 00105 (82.8%) | loss: 3.911052 | lrm: 0.34 | dt: 2642ms | tok/sec: 198,470 | mfu: 67.8% | epoch: 1 | remaining: 49s    
step 00106 (83.7%) | loss: 3.896675 | lrm: 0.33 | dt: 2642ms | tok/sec: 198,436 | mfu: 67.8% | epoch: 1 | remaining: 46s    
step 00107 (84.5%) | loss: 3.893325 | lrm: 0.31 | dt: 2641ms | tok/sec: 198,481 | mfu: 67.8% | epoch: 1 | remaining: 44s    
step 00108 (85.4%) | loss: 3.889118 | lrm: 0.29 | dt: 2641ms | tok/sec: 198,482 | mfu: 67.8% | epoch: 1 | remaining: 41s    
step 00109 (86.3%) | loss: 3.879536 | lrm: 0.27 | dt: 2641ms | tok/sec: 198,507 | mfu: 67.8% | epoch: 1 | remaining: 38s    
step 00110 (87.2%) | loss: 3.862759 | lrm: 0.26 | dt: 2642ms | tok/sec: 198,473 | mfu: 67.8% | epoch: 1 | remaining: 36s    
step 00111 (88.1%) | loss: 3.859243 | lrm: 0.24 | dt: 2641ms | tok/sec: 198,488 | mfu: 67.8% | epoch: 1 | remaining: 33s    
step 00112 (88.9%) | loss: 3.845834 | lrm: 0.22 | dt: 2643ms | tok/sec: 198,405 | mfu: 67.8% | epoch: 1 | remaining: 31s    
step 00113 (89.8%) | loss: 3.846354 | lrm: 0.20 | dt: 2642ms | tok/sec: 198,446 | mfu: 67.8% | epoch: 1 | remaining: 28s    
step 00114 (90.7%) | loss: 3.844272 | lrm: 0.19 | dt: 2642ms | tok/sec: 198,467 | mfu: 67.8% | epoch: 1 | remaining: 25s    
step 00115 (91.6%) | loss: 3.838725 | lrm: 0.17 | dt: 2641ms | tok/sec: 198,488 | mfu: 67.8% | epoch: 1 | remaining: 23s    
step 00116 (92.5%) | loss: 3.821210 | lrm: 0.15 | dt: 2641ms | tok/sec: 198,493 | mfu: 67.8% | epoch: 1 | remaining: 20s    
step 00117 (93.3%) | loss: 3.817764 | lrm: 0.13 | dt: 2642ms | tok/sec: 198,407 | mfu: 67.8% | epoch: 1 | remaining: 17s    
step 00118 (94.2%) | loss: 3.806210 | lrm: 0.12 | dt: 2641ms | tok/sec: 198,495 | mfu: 67.8% | epoch: 1 | remaining: 15s    
step 00119 (95.1%) | loss: 3.794398 | lrm: 0.10 | dt: 2641ms | tok/sec: 198,494 | mfu: 67.8% | epoch: 1 | remaining: 12s    
step 00120 (96.0%) | loss: 3.792386 | lrm: 0.08 | dt: 2643ms | tok/sec: 198,380 | mfu: 67.8% | epoch: 1 | remaining: 9s    
step 00121 (96.9%) | loss: 3.778642 | lrm: 0.06 | dt: 2642ms | tok/sec: 198,466 | mfu: 67.8% | epoch: 1 | remaining: 7s    
step 00122 (97.7%) | loss: 3.770177 | lrm: 0.05 | dt: 2642ms | tok/sec: 198,462 | mfu: 67.8% | epoch: 1 | remaining: 4s    
step 00123 (98.6%) | loss: 3.769032 | lrm: 0.03 | dt: 2642ms | tok/sec: 198,469 | mfu: 67.8% | epoch: 1 | remaining: 1s    
step 00124 (99.5%) | loss: 3.767346 | lrm: 0.01 | dt: 2643ms | tok/sec: 198,403 | mfu: 67.8% | epoch: 1 | remaining: 0s    
---
val_bpb:          1.322980
training_seconds: 301.2
total_seconds:    413.9
peak_vram_mb:     11702.0
mfu_percent:      68.38
total_tokens_M:   65.5
num_steps:        125
num_params_M:     50.3
depth:            8
